Feature,IV,Strength
credit_utilization_ratio,0.0902,Weak
utilization_per_open_account,0.0662,Weak
newest_trade_open_months,0.064,Weak
balance_to_income,0.0575,Weak
log_income_inr,0.0477,Weak
max_credit_exposure,0.0396,Weak
total_current_balance,0.0391,Weak
log_total_current_balance,0.0391,Weak
account_maturity,0.0333,Weak
age,0.0295,Weak
checking_account_balance,0.0291,Weak
log_checking_account_balance,0.0291,Weak
total_accounts,0.0256,Weak
savings_to_loan,0.025,Weak
monthly_installment_proxy,0.0246,Weak
log_savings_account_balance,0.0212,Weak
savings_account_balance,0.0212,Weak
installment_to_income,0.0193,Useless
log_loan_amount,0.0179,Useless
closed_account_ratio,0.0175,Useless
trade_gap,0.0157,Useless
no_of_inquiries_12m,0.0154,Useless
no_of_open_accounts,0.0141,Useless
outstanding_loans,0.0117,Useless
debt_to_income,0.0112,Useless
no_of_closed_accounts,0.0098,Useless
loan_tenure_months,0.007,Useless
marital_status,0.0066,Useless
no_of_inquiries_6m,0.0053,Useless
inquiry_acceleration,0.0008,Useless
education_level,0.0005,Useless
